District,Latitude,Longitude
Bagerhat,22.6516,89.7856
Bandarban,22.1953,92.2195
Barguna,22.1462,90.1121
Barisal,22.701,90.3535
Bhola,22.687,90.644
Bogra,24.8467,89.3776
Brahmanbaria,23.9571,91.111
Chandpur,23.2332,90.6713
Chittagong,22.335,91.8349
Chuadanga,23.6402,88.8411
Comilla,23.4619,91.1851
Cox's Bazar,21.4272,92.0058
Dhaka,23.8103,90.4125
Dinajpur,25.6274,88.6378
Faridpur,23.607,89.8406
Feni,23.0159,91.3973
Gaibandha,25.3297,89.5271
Gazipur,23.9999,90.4203
Gopalganj,23.0051,89.8266
Habiganj,24.3745,91.4155
Jamalpur,24.9375,89.9373
Jessore,23.1664,89.2081
Jhalokati,22.6406,90.191
Jhenaidah,23.5446,89.1538
Joypurhat,25.0968,89.0188
Khagrachhari,23.1193,91.9853
Khulna,22.8456,89.5403
Kishoreganj,24.4412,90.7821
Kurigram,25.8054,89.6362
Kushtia,23.9028,89.1208
Lakshmipur,22.9426,90.8412
Lalmonirhat,25.9923,89.2847
Madaripur,23.1641,90.1893
Magura,23.4873,89.4197
Manikganj,23.8644,90.004
Maulvibazar,24.4829,91.7668
Meherpur,23.7821,88.6312
Munshiganj,23.5422,90.5305
Mymensingh,24.7471,90.4203
Naogaon,24.804,88.948
Narail,23.1645,89.498
Narayanganj,23.622,90.4999
Narsingdi,23.9329,90.7176
Natore,24.4206,89.0001
Netrakona,24.8835,90.7298
Nilphamari,26.034,88.9293
Noakhali,22.8713,91.0982
Pabna,24.011,89.2372
Panchagarh,26.3411,88.5542
Patuakhali,22.3596,90.3292
Pirojpur,22.5828,89.972
Rajbari,23.7574,89.6445
Rajshahi,24.3636,88.6241
Rangamati,22.6638,92.162
Rangpur,25.7439,89.2752
Satkhira,22.7185,89.07
Shariatpur,23.2423,90.4348
Sherpur,25.0187,90.0173
Sirajganj,24.4534,89.7007
Sunamganj,25.0657,91.395
Sylhet,24.8949,91.8687
Tangail,24.3917,89.9911
Thakurgaon,26.0337,88.4678