Ward No.,Ward Name
1,South Pahartali
2,Jalalabad
3,Panchlaish
4,Chandgaon
5,Mohra
6,East Sholashahar
7,West Sholashahar
8,Sulakbahar
9,North Pahartali
10,North Kattali
11,South Kattali
12,Saraipara
13,Pahartali
14,Lal Khan Bazar
15,Bagmoniram
16,Chawk Bazar
17,West Bakalia
18,East Bakalia
19,South Bakalia
20,Dewan Bazar
21,Jamal Khan
22,Enayet Bazar
23,North Pathantooli
24,North Agrabad
25,Rampur
26,North Halishahar
27,South Agrabad
28,Pathantooli
29,West Madarbari
30,East Madarbari
31,Alkaran
32,Anderkilla
33,Firingee Bazar
34,Patharghata
35,Boxir Hat
36,Gosaildanga
37,North Middle Halishahar
38,South Middle Halishahar
39,South Halishahar
40,North Potenga
41,South Potenga